Top-k,prod_mix_acc,prod_mix_inv,react_mix_acc,react_mix_inv,reag_mix_acc,reag_mix_inv,prod_sep_acc,prod_sep_inv,react_sep_acc,react_sep_inv,reag_sep_acc,reag_sep_inv
Top-1,97.0,0.11,72.2,0.04,22.5,0.01,97.7,0.23,74.0,0.22,24.9,0.04
Top-2,98.7,2.34,86.0,0.23,30.6,0.15,98.8,48.30,85.4,8.98,31.8,0.47
Top-3,99.2,4.33,91.6,0.41,35.3,0.15,99.1,51.59,89.4,15.82,36.0,0.52
Top-4,99.4,5.53,94.0,0.72,38.6,0.09,99.2,53.87,91.4,20.62,38.3,0.61
Top-5,99.5,6.74,95.4,0.66,41.0,0.18,99.2,54.49,92.5,25.24,40.2,1.09
